forecast_quarter,job,skill,p50_uni,p50_cov,signal,signal_dir,last_share,n_hist_quarters
2026-Q3,.NET开发工程师,生成式AI原理与应用,0.00014639553,0.00015269668074324727,6.301150743247264e-06,up,0.0,7.0
2026-Q3,.NET开发工程师,生成式AI应用开发,0.005543207,0.0055597019381821156,1.6494938182115906e-05,up,0.0062,11.0
2026-Q3,.NET开发工程师,目标导向与攻坚韧性,0.024899423,0.02479131706058979,-0.00010810593941021004,down,0.0226,17.0
2026-Q3,.NET开发工程师,程序设计与软件工程,0.106555656,0.10671654343605042,0.00016088743605041644,up,0.108,17.0
2026-Q3,.NET开发工程师,算法与数据结构,0.01057153,0.010841668583452702,0.0002701385834527007,up,0.0082,17.0
2026-Q3,.NET开发工程师,系统测试与质量评估,0.05470647,0.05476301908493042,5.6549084930419824e-05,up,0.0597,17.0
2026-Q3,.NET开发工程师,系统部署交付与运维,0.051119912,0.05065742880105972,-0.00046248319894028056,down,0.0525,17.0
2026-Q3,.NET开发工程师,终身学习与知识更新,0.03812615,0.03858743980526924,0.0004612898052692438,up,0.0381,17.0
2026-Q3,.NET开发工程师,网络安全与数据隐私,0.013914663,0.013573352247476578,-0.00034131075252342297,down,0.0154,17.0
2026-Q3,.NET开发工程师,自我监测与工作复盘,0.004030571,0.004074320662766695,4.374966276669487e-05,up,0.001,17.0
2026-Q3,.NET开发工程师,自然语言处理技术,1.4684279e-05,1.6150326700881124e-05,1.4660477008811233e-06,up,0.0,6.0
2026-Q3,.NET开发工程师,计算数学与数据建模,0.0017115332,0.0016881299670785666,-2.3403232921433408e-05,down,0.0021,15.0
2026-Q3,.NET开发工程师,计算机硬件与数字电路,0.0022037008,0.002198348753154278,-5.352046845722314e-06,down,0.0021,16.0
2026-Q3,.NET开发工程师,计算机网络与通信技术,0.033504754,0.032930538058280945,-0.0005742159417190529,down,0.036,17.0
2026-Q3,.NET开发工程师,计算机视觉与多模态,0.0016826402,0.00169452466070652,1.1884460706520009e-05,up,0.0021,16.0
2026-Q3,.NET开发工程师,说服与分歧谈判,0.0015875236,0.0015609002439305186,-2.6623356069481333e-05,down,0.0041,15.0
2026-Q3,.NET开发工程师,软件架构与系统设计,0.0720104,0.07222868502140045,0.00021828502140044947,up,0.0751,17.0
2026-Q3,.NET开发工程师,需求洞察与服务意识,0.037614293,0.037455156445503235,-0.00015913655449676517,down,0.0381,17.0
2026-Q3,AI Agent工程师,AI幻觉识别与校验,-4.9231574e-05,0.00014541414566338062,0.0001946457196633806,up,0.0,1.0
2026-Q3,AI Agent工程师,AI智能体构建与编排,0.054186348,0.05600757524371147,0.0018212272437114693,up,0.0606,2.0
2026-Q3,AI Agent工程师,AI输出质量评估,-4.9231574e-05,8.045812137424946e-05,0.00012968969537424945,up,0.0,1.0
2026-Q3,AI Agent工程师,RAG与向量数据库,0.011677483,0.010623829439282417,-0.0010536535607175834,down,0.0303,2.0
2026-Q3,AI Agent工程师,书面技术文档撰写,0.01735169,0.012931185774505138,-0.004420504225494861,down,0.0606,1.0
2026-Q3,AI Agent工程师,云原生与分布式系统,0.01735169,0.01857704669237137,0.001225356692371369,up,0.0606,1.0
2026-Q3,AI Agent工程师,创造力与创新思维,0.008675844,0.005953873507678509,-0.0027219704923214915,down,0.0303,1.0
2026-Q3,AI Agent工程师,口头技术沟通与汇报,0.008675845,0.007131971884518862,-0.001543873115481138,down,0.0303,1.0
2026-Q3,AI Agent工程师,团队协作与协调,0.008675845,0.007404266856610775,-0.0012715781433892247,down,0.0303,1.0
2026-Q3,AI Agent工程师,大数据与分布式计算,0.008675845,0.008834412321448326,0.00015856732144832637,up,0.0303,1.0
2026-Q3,AI Agent工程师,大模型开发与微调,-4.9231574e-05,0.00011870241723954678,0.00016793399123954676,up,0.0,1.0
2026-Q3,AI Agent工程师,大模型选型与评测,0.011677483,0.011140776798129082,-0.0005367062018709189,down,0.0303,2.0
2026-Q3,AI Agent工程师,批判性逻辑思考,0.011677483,0.009861201047897339,-0.0018162819521026618,down,0.0303,2.0
2026-Q3,AI Agent工程师,提示设计与提示工程,0.011677483,0.009192582219839096,-0.0024849007801609046,down,0.0303,2.0
2026-Q3,AI Agent工程师,数据分析与可视化,0.008675844,0.008610092103481293,-6.575189651870754e-05,down,0.0303,1.0
2026-Q3,AI Agent工程师,数据管理与数据库,0.008675845,0.008690981194376945,1.5136194376945758e-05,up,0.0303,1.0
2026-Q3,AI Agent工程师,机器学习与深度学习,0.054186348,0.05424958094954491,6.323294954490438e-05,up,0.0606,2.0
2026-Q3,AI Agent工程师,环境适应与压力耐受,0.01735169,0.016637619584798813,-0.0007140704152011866,down,0.0606,1.0
2026-Q3,AI Agent工程师,生成式AI原理与应用,0.011677483,0.009173116646707058,-0.0025043663532929427,down,0.0303,2.0
2026-Q3,AI Agent工程师,生成式AI应用开发,0.011677483,0.0079732621088624,-0.0037042208911376006,down,0.0303,2.0
2026-Q3,AI Agent工程师,程序设计与软件工程,0.054186348,0.052393779158592224,-0.0017925688414077781,down,0.0606,2.0
2026-Q3,AI Agent工程师,系统测试与质量评估,0.011677483,0.009599261917173862,-0.002078221082826138,down,0.0303,2.0
2026-Q3,AI Agent工程师,终身学习与知识更新,0.054186344,0.0509127676486969,-0.003273576351303098,down,0.0606,2.0
2026-Q3,AI Agent工程师,自然语言处理技术,0.008675845,0.010299970395863056,0.0016241253958630564,up,0.0303,1.0
2026-Q3,AI Agent工程师,计算机视觉与多模态,0.01735169,0.022380487993359566,0.005028797993359566,up,0.0606,1.0
2026-Q3,AI Agent工程师,软件架构与系统设计,0.054186348,0.050926923751831055,-0.0032594242481689475,down,0.0606,2.0
2026-Q3,AI Agent工程师,需求洞察与服务意识,0.008675845,0.006520210299640894,-0.002155634700359106,down,0.0303,1.0
2026-Q3,AI产品经理,AI任务拆解与规划,0.018700898,0.018799040466547012,9.814246654701181e-05,up,0.0207,15.0
2026-Q3,AI产品经理,AI安全与风险防控,0.001097254,0.0011165416799485683,1.9287679948568363e-05,up,0.0094,7.0
2026-Q3,AI产品经理,AI幻觉识别与校验,5.5615295e-05,5.674143903888762e-05,1.1261440388876177e-06,up,0.0056,2.0
2026-Q3,AI产品经理,AI智能体构建与编排,0.02394083,0.02403382770717144,9.299770717144037e-05,up,0.0226,8.0
2026-Q3,AI产品经理,AI输出质量评估,0.008736142,0.008961284533143044,0.00022514253314304296,up,0.0113,13.0
2026-Q3,AI产品经理,RAG与向量数据库,0.014009727,0.014196455478668213,0.0001867284786682133,up,0.0132,9.0
2026-Q3,AI产品经理,严谨细致与诚信自律,0.0154153295,0.015174047090113163,-0.00024128240988683693,down,0.0132,15.0
2026-Q3,AI产品经理,书面技术文档撰写,0.045121122,0.04522639140486717,0.00010526940486717262,up,0.0433,17.0
2026-Q3,AI产品经理,云原生与分布式系统,0.0057367682,0.005620500072836876,-0.00011626812716312388,down,0.0056,13.0
2026-Q3,AI产品经理,人机交互与用户体验,0.03902736,0.03933966904878616,0.0003123090487861663,up,0.0377,17.0
2026-Q3,AI产品经理,人机语义对齐与协同,0.0011059137,0.0011962829157710075,9.036921577100748e-05,up,0.0038,3.0
2026-Q3,AI产品经理,仿真数据合成,5.4110715e-06,9.755458449944854e-06,4.344386949944854e-06,up,0.0,2.0
2026-Q3,AI产品经理,信息管理与数字素养,0.006605847,0.006820995360612869,0.0002151483606128695,up,0.0056,15.0
2026-Q3,AI产品经理,创造力与创新思维,0.027599704,0.027875514701008797,0.0002758107010087975,up,0.0282,17.0
2026-Q3,AI产品经理,口头技术沟通与汇报,0.05871169,0.059590160846710205,0.0008784708467102081,up,0.0527,17.0
2026-Q3,AI产品经理,团队协作与协调,0.06343029,0.06347896158695221,4.867158695220919e-05,up,0.064,17.0
2026-Q3,AI产品经理,图形与交互技术,7.486268e-05,9.288545697927475e-05,1.8022776979274754e-05,up,0.0019,4.0
2026-Q3,AI产品经理,多方权衡与方案决策,0.04584129,0.045804016292095184,-3.727370790481549e-05,down,0.0471,17.0
2026-Q3,AI产品经理,大数据与分布式计算,0.0047350563,0.00476777832955122,3.2722029551219764e-05,up,0.0056,14.0
2026-Q3,AI产品经理,大模型开发与微调,0.008060842,0.008042359724640846,-1.84822753591541e-05,down,0.0094,11.0
2026-Q3,AI产品经理,大模型选型与评测,0.025826655,0.026264764368534088,0.0004381093685340877,up,0.0301,12.0
2026-Q3,AI产品经理,嵌入式系统与固件开发,0.000915559,0.0009452492813579738,2.969028135797378e-05,up,0.0019,7.0
2026-Q3,AI产品经理,异构模态组合与泛化能力,-2.9524017e-07,3.6988967622164637e-07,6.651298462216463e-07,up,0.0,1.0
2026-Q3,AI产品经理,归纳与演绎推理,0.0041691298,0.004204594064503908,3.546426450390817e-05,up,0.0038,14.0
2026-Q3,AI产品经理,批判性逻辑思考,0.040774103,0.040054403245449066,-0.0007196997545509329,down,0.0377,16.0
2026-Q3,AI产品经理,提示设计与提示工程,0.014870591,0.014753945171833038,-0.00011664582816696238,down,0.0207,12.0
2026-Q3,AI产品经理,操作系统与系统管理,0.005076453,0.0050805676728487015,4.114672848701609e-06,up,0.0038,4.0
2026-Q3,AI产品经理,数据分析与可视化,0.034987845,0.035835813730955124,0.0008479687309551273,up,0.0301,17.0
2026-Q3,AI产品经理,数据管理与数据库,0.008294966,0.008267024531960487,-2.7941468039513473e-05,down,0.0075,13.0
2026-Q3,AI产品经理,时间与资源统筹管理,0.040497962,0.040822744369506836,0.0003247823695068375,up,0.0377,17.0
2026-Q3,AI产品经理,机器学习与深度学习,0.039725505,0.03977365791797638,4.815291797637816e-05,up,0.0414,17.0
2026-Q3,AI产品经理,环境适应与压力耐受,0.023497049,0.02343648672103882,-6.056227896118066e-05,down,0.0264,16.0
2026-Q3,AI产品经理,生成式AI原理与应用,0.03434909,0.034032225608825684,-0.0003168643911743152,down,0.0358,15.0
2026-Q3,AI产品经理,生成式AI应用开发,0.032391995,0.03137762099504471,-0.0010143740049552916,down,0.0301,17.0
2026-Q3,AI产品经理,目标导向与攻坚韧性,0.040879503,0.04067755118012428,-0.00020195181987571476,down,0.0414,16.0
2026-Q3,AI产品经理,程序设计与软件工程,0.012248049,0.01335977390408516,0.0011117249040851589,up,0.0282,17.0
2026-Q3,AI产品经理,算法与数据结构,0.00026116485,0.00032917934004217386,6.801449004217386e-05,up,0.0019,7.0
2026-Q3,AI产品经理,系统测试与质量评估,0.0053202165,0.005360662471503019,4.044597150301959e-05,up,0.0113,11.0
2026-Q3,AI产品经理,系统部署交付与运维,0.004034822,0.0040752822533249855,4.0460253324985096e-05,up,0.0094,10.0
2026-Q3,AI产品经理,终身学习与知识更新,0.03909522,0.039092015475034714,-3.2045249652862262e-06,down,0.0433,17.0
2026-Q3,AI产品经理,网络安全与数据隐私,0.009644446,0.00933025125414133,-0.0003141947458586685,down,0.0113,11.0
2026-Q3,AI产品经理,自我监测与工作复盘,0.0061196364,0.006037803366780281,-8.183303321971855e-05,down,0.0075,15.0
2026-Q3,AI产品经理,自然语言处理技术,0.024378829,0.024826958775520325,0.00044812977552032354,up,0.0132,17.0
2026-Q3,AI产品经理,计算数学与数据建模,0.0062474455,0.006149019114673138,-9.842638532686198e-05,down,0.0094,15.0
2026-Q3,AI产品经理,计算机硬件与数字电路,0.00034108758,0.0003628307022154331,2.1743122215433098e-05,up,0.0,9.0
2026-Q3,AI产品经理,计算机网络与通信技术,0.0025265547,0.0025125229731202126,-1.403172687978755e-05,down,0.0038,11.0
2026-Q3,AI产品经理,计算机视觉与多模态,0.021412317,0.02087944746017456,-0.0005328695398254396,down,0.0151,17.0
2026-Q3,AI产品经理,说服与分歧谈判,0.008487468,0.008612626232206821,0.0001251582322068217,up,0.0113,15.0
2026-Q3,AI产品经理,负责任AI与可解释性,0.00093109783,0.0008580447174608707,-7.305311253912928e-05,down,0.0113,4.0
2026-Q3,AI产品经理,软件架构与系统设计,0.011996291,0.012019781395792961,2.3490395792961916e-05,up,0.0113,15.0
2026-Q3,AI产品经理,需求洞察与服务意识,0.061076816,0.06132310628890991,0.00024629028890991306,up,0.0621,17.0
2026-Q3,Android开发工程师,AI任务拆解与规划,0.0012853811,0.0013311924412846565,4.5811341284656554e-05,up,0.0,15.0
2026-Q3,Android开发工程师,AI安全与风险防控,-9.5090945e-07,1.3818571460433304e-06,2.3327665960433303e-06,up,0.0,3.0
2026-Q3,Android开发工程师,AI幻觉识别与校验,0.00051539694,0.0006859282730147243,0.00017053133301472422,up,0.0018,1.0
2026-Q3,Android开发工程师,AI智能体构建与编排,0.00022607259,0.0003092499391641468,8.31773491641468e-05,up,0.0018,6.0
2026-Q3,Android开发工程师,RAG与向量数据库,4.8709437e-05,5.6933597079478204e-05,8.224160079478205e-06,up,0.0018,2.0
2026-Q3,Android开发工程师,严谨细致与诚信自律,0.03905598,0.03873386234045029,-0.0003221176595497102,down,0.0327,17.0
2026-Q3,Android开发工程师,书面技术文档撰写,0.05524297,0.0546923503279686,-0.0005506196720314049,down,0.0545,17.0
2026-Q3,Android开发工程师,云原生与分布式系统,0.006423495,0.006487514358013868,6.401935801386791e-05,up,0.0091,16.0
2026-Q3,Android开发工程师,人机交互与用户体验,0.057624497,0.05745624750852585,-0.00016824949147414836,down,0.06,17.0
2026-Q3,Android开发工程师,人机语义对齐与协同,-1.1071534e-06,1.1041629477404058e-06,2.2113163477404055e-06,up,0.0,1.0
2026-Q3,Android开发工程师,信息管理与数字素养,0.0004345004,0.0006422172300517559,0.0002077168300517559,up,0.0,13.0
2026-Q3,Android开发工程师,创造力与创新思维,0.01304598,0.012653659097850323,-0.0003923209021496777,down,0.0091,17.0
2026-Q3,Android开发工程师,口头技术沟通与汇报,0.060025446,0.060033638030290604,8.192030290600505e-06,up,0.06,17.0
2026-Q3,Android开发工程师,团队协作与协调,0.078962564,0.07898031920194626,1.775520194625957e-05,up,0.0782,17.0
2026-Q3,Android开发工程师,图形与交互技术,0.013544306,0.013536008074879646,-8.297925120354446e-06,down,0.0109,17.0
2026-Q3,Android开发工程师,多方权衡与方案决策,0.00896683,0.008935188874602318,-3.1641125397682476e-05,down,0.0073,17.0
2026-Q3,Android开发工程师,大数据与分布式计算,0.0003452952,0.00037174165481701493,2.6446454817014953e-05,up,0.0,10.0
2026-Q3,Android开发工程师,大模型开发与微调,-8.355259e-06,-6.23367668595165e-06,2.1215823140483505e-06,up,0.0,3.0
2026-Q3,Android开发工程师,大模型选型与评测,0.00018368286,0.00018210758571512997,-1.575274284870042e-06,down,0.0018,5.0
2026-Q3,Android开发工程师,嵌入式系统与固件开发,0.034549452,0.03455142676830292,1.9747683029161522e-06,up,0.0327,17.0
2026-Q3,Android开发工程师,归纳与演绎推理,0.0018213943,0.0018564165802672505,3.50222802672506e-05,up,0.0018,15.0
2026-Q3,Android开发工程师,批判性逻辑思考,0.038518265,0.03874961659312248,0.00023135159312247938,up,0.0418,17.0
2026-Q3,Android开发工程师,提示设计与提示工程,-7.4947748e-06,-5.231631803326309e-06,2.263142996673691e-06,up,0.0,3.0
2026-Q3,Android开发工程师,操作系统与系统管理,0.026844017,0.02690308541059494,5.906841059493892e-05,up,0.0255,17.0
2026-Q3,Android开发工程师,数据分析与可视化,0.002696965,0.0027287681587040424,3.180315870404248e-05,up,0.0036,16.0
2026-Q3,Android开发工程师,数据管理与数据库,0.01490986,0.015163296833634377,0.00025343683363437605,up,0.0127,17.0
2026-Q3,Android开发工程师,时间与资源统筹管理,0.012381858,0.012424786575138569,4.2928575138568084e-05,up,0.0127,17.0
2026-Q3,Android开发工程师,机器学习与深度学习,0.0035513602,0.003489941358566284,-6.141884143371582e-05,down,0.0055,17.0
2026-Q3,Android开发工程师,环境适应与压力耐受,0.018134138,0.017971988767385483,-0.00016214923261451825,down,0.0164,17.0
2026-Q3,Android开发工程师,生成式AI原理与应用,0.0010057254,0.0008687286172062159,-0.00013699678279378413,down,0.0018,5.0
2026-Q3,Android开发工程师,生成式AI应用开发,0.0035859332,0.003535268362611532,-5.066483738846777e-05,down,0.0036,11.0
2026-Q3,Android开发工程师,目标导向与攻坚韧性,0.028324299,0.028179941698908806,-0.00014435730109119485,down,0.0291,17.0
2026-Q3,Android开发工程师,程序设计与软件工程,0.11950793,0.11917286366224289,-0.0003350663377571089,down,0.1164,17.0
2026-Q3,Android开发工程师,算法与数据结构,0.027933495,0.02810145728290081,0.00016796228290081108,up,0.0236,17.0
2026-Q3,Android开发工程师,系统测试与质量评估,0.06642921,0.06641124933958054,-1.7960660419466534e-05,down,0.0673,17.0
2026-Q3,Android开发工程师,系统部署交付与运维,0.013987921,0.013713652268052101,-0.00027426873194789925,down,0.0218,16.0
2026-Q3,Android开发工程师,终身学习与知识更新,0.041387,0.04329921677708626,0.0019122167770862578,up,0.0364,17.0
2026-Q3,Android开发工程师,网络安全与数据隐私,0.017437888,0.01725897379219532,-0.00017891420780467848,down,0.0236,17.0
2026-Q3,Android开发工程师,自我监测与工作复盘,0.003703412,0.0038008687552064657,9.745675520646561e-05,up,0.0036,16.0
2026-Q3,Android开发工程师,自然语言处理技术,0.0040453067,0.004016239661723375,-2.9067038276624733e-05,down,0.0073,15.0
2026-Q3,Android开发工程师,计算数学与数据建模,0.00035534205,0.0003846772015094757,2.9335151509475718e-05,up,0.0,10.0
2026-Q3,Android开发工程师,计算机硬件与数字电路,0.010021033,0.009762214496731758,-0.00025881850326824225,down,0.0091,17.0
2026-Q3,Android开发工程师,计算机网络与通信技术,0.053019676,0.05271775647997856,-0.0003019195200214403,down,0.0545,17.0
2026-Q3,Android开发工程师,计算机视觉与多模态,0.0042748256,0.004329036921262741,5.4211321262741426e-05,up,0.0036,17.0
2026-Q3,Android开发工程师,说服与分歧谈判,0.001053528,0.000968914944678545,-8.461305532145498e-05,down,0.0055,12.0
2026-Q3,Android开发工程师,负责任AI与可解释性,-3.501722e-06,-2.687396772671491e-06,8.143252273285091e-07,up,0.0,3.0
2026-Q3,Android开发工程师,软件架构与系统设计,0.07329873,0.07322990894317627,-6.882105682373685e-05,down,0.0764,17.0
2026-Q3,Android开发工程师,需求洞察与服务意识,0.027951397,0.027745578438043594,-0.000205818561956405,down,0.0345,17.0
2026-Q3,BI工程师,AI任务拆解与规划,0.0013411094,0.0012329069431871176,-0.0001082024568128824,down,0.0,8.0
2026-Q3,BI工程师,AI安全与风险防控,2.6832015e-05,2.663212944753468e-05,-1.998855524653206e-07,down,0.0,3.0
2026-Q3,BI工程师,AI智能体构建与编排,0.008074426,0.008121401071548462,4.697507154846105e-05,up,0.006,2.0
2026-Q3,BI工程师,AI输出质量评估,1.4212856e-06,1.62291107699275e-05,1.4807825169927502e-05,up,0.0,4.0
2026-Q3,BI工程师,严谨细致与诚信自律,0.01982575,0.019897498190402985,7.1748190402985e-05,up,0.0327,17.0
2026-Q3,BI工程师,书面技术文档撰写,0.04858047,0.048620760440826416,4.029044082641542e-05,up,0.0506,17.0
2026-Q3,BI工程师,云原生与分布式系统,0.00949438,0.009450961835682392,-4.341816431760806e-05,down,0.0149,16.0
2026-Q3,BI工程师,人机交互与用户体验,0.021594461,0.022014208137989044,0.00041974713798904537,up,0.0357,16.0
2026-Q3,BI工程师,人机语义对齐与协同,6.045011e-06,7.872062269598246e-06,1.8270512695982458e-06,up,0.0,2.0
2026-Q3,BI工程师,信息管理与数字素养,0.00824262,0.008501634001731873,0.0002590140017318717,up,0.0089,13.0
2026-Q3,BI工程师,创造力与创新思维,0.008215172,0.008121442049741745,-9.372995025825476e-05,down,0.006,16.0
2026-Q3,BI工程师,口头技术沟通与汇报,0.06688475,0.068973608314991,0.0020888583149909906,up,0.0655,17.0
2026-Q3,BI工程师,团队协作与协调,0.0754187,0.07536900788545609,-4.9692114543919974e-05,down,0.0833,17.0
2026-Q3,BI工程师,图形与交互技术,0.0008935311,0.0006459351861849427,-0.00024759591381505724,down,0.003,3.0
2026-Q3,BI工程师,多方权衡与方案决策,0.018645955,0.018157729879021645,-0.0004882251209783542,down,0.0119,17.0
2026-Q3,BI工程师,大数据与分布式计算,0.048159245,0.04788373410701752,-0.0002755108929824862,down,0.0506,17.0
2026-Q3,BI工程师,大模型开发与微调,0.00028936093,0.0002220782480435446,-6.728268195645539e-05,down,0.003,3.0
2026-Q3,BI工程师,嵌入式系统与固件开发,6.444112e-06,2.0544335711747408e-05,1.4100223711747407e-05,up,0.003,4.0
2026-Q3,BI工程师,归纳与演绎推理,0.002832489,0.003007154446095228,0.0001746654460952281,up,0.003,10.0
2026-Q3,BI工程师,批判性逻辑思考,0.04702551,0.04708695411682129,6.144411682128953e-05,up,0.0446,16.0
2026-Q3,BI工程师,操作系统与系统管理,0.0041780556,0.004096212796866894,-8.18428031331064e-05,down,0.003,16.0
2026-Q3,BI工程师,数据分析与可视化,0.10164233,0.10179160535335541,0.00014927535335540476,up,0.1012,17.0
2026-Q3,BI工程师,数据管理与数据库,0.09685482,0.09646168351173401,-0.00039313648826598546,down,0.0952,17.0
2026-Q3,BI工程师,时间与资源统筹管理,0.020469116,0.020270930603146553,-0.00019818539685344597,down,0.0208,16.0
2026-Q3,BI工程师,机器学习与深度学习,0.007147383,0.007429994642734528,0.0002826116427345274,up,0.0119,15.0
2026-Q3,BI工程师,环境适应与压力耐受,0.01588224,0.015609607100486755,-0.0002726328995132435,down,0.0149,16.0
2026-Q3,BI工程师,生成式AI原理与应用,5.80012e-05,5.978439003229141e-05,1.7831900322914094e-06,up,0.0,5.0
2026-Q3,BI工程师,生成式AI应用开发,0.00010502851,7.25350109860301e-05,-3.2493499013969905e-05,down,0.003,4.0
2026-Q3,BI工程师,目标导向与攻坚韧性,0.024560763,0.02457902394235134,1.8260942351341902e-05,up,0.0298,16.0
2026-Q3,BI工程师,程序设计与软件工程,0.06257246,0.06254378706216812,-2.8672937831875078e-05,down,0.0625,17.0
2026-Q3,BI工程师,算法与数据结构,6.145041e-05,9.161361958831549e-05,3.0163209588315482e-05,up,0.0,7.0
2026-Q3,BI工程师,系统测试与质量评估,0.010873659,0.011599997989833355,0.0007263389898333542,up,0.006,17.0
2026-Q3,BI工程师,系统部署交付与运维,0.036473785,0.0362955741584301,-0.00017821084156990213,down,0.0357,16.0
2026-Q3,BI工程师,终身学习与知识更新,0.03586951,0.0362764373421669,0.00040692734216690035,up,0.0387,17.0
2026-Q3,BI工程师,网络安全与数据隐私,0.01462725,0.014361553825438023,-0.000265696174561977,down,0.0179,12.0
2026-Q3,BI工程师,自我监测与工作复盘,0.009643323,0.009428276680409908,-0.00021504631959009222,down,0.0149,15.0
2026-Q3,BI工程师,自然语言处理技术,2.8227078e-07,1.5933619579300284e-06,1.3110911779300283e-06,up,0.0,1.0
2026-Q3,BI工程师,计算数学与数据建模,0.03548304,0.035023611038923264,-0.00045942896107673686,down,0.0387,16.0
2026-Q3,BI工程师,计算机硬件与数字电路,4.3333566e-06,6.732094334438443e-06,2.398737734438443e-06,up,0.0,2.0
2026-Q3,BI工程师,计算机网络与通信技术,0.0026220237,0.0026063595432788134,-1.566415672118668e-05,down,0.003,12.0
2026-Q3,BI工程师,计算机视觉与多模态,4.4534245e-06,7.396352884825319e-06,2.942928384825319e-06,up,0.0,1.0
2026-Q3,BI工程师,说服与分歧谈判,0.0011484874,0.0013189418241381645,0.00017045442413816448,up,0.0,15.0
2026-Q3,BI工程师,负责任AI与可解释性,4.4534245e-06,6.7669752752408385e-06,2.3135507752408386e-06,up,0.0,1.0
2026-Q3,BI工程师,软件架构与系统设计,0.015454729,0.015772538259625435,0.0003178092596254345,up,0.0089,16.0
2026-Q3,BI工程师,需求洞察与服务意识,0.06833775,0.06806178390979767,-0.0002759660902023342,down,0.0714,17.0
2026-Q3,C#开发工程师,AI任务拆解与规划,0.0012565958,0.001291635911911726,3.504011191172605e-05,up,0.0019,16.0
2026-Q3,C#开发工程师,AI安全与风险防控,-1.4244142e-07,7.27533915778622e-07,8.69975335778622e-07,up,0.0,2.0
